sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,FAR Limit,FAR,FRR
1,3,2,0.95,0.05,0.95,0.95,0.25,0.05,0.000,0.0,0.879087
1,3,2,0.75,0.05,0.15,0.15,0.6,0.25,0.005,0.004567,0.695229
1,3,2,0.85,0.1,0.15,0.15,0.6,0.25,0.010,0.008953,0.621831
1,3,2,0.7,0.2,0.15,0.15,0.55,0.25,0.015,0.014479,0.553674
1,3,2,0.85,0.2,0.15,0.15,0.65,0.25,0.020,0.019693,0.497405
1,3,2,0.85,0.2,0.2,0.2,0.6,0.25,0.025,0.024356,0.472964
1,3,2,0.65,0.2,0.3,0.3,0.6,0.25,0.030,0.029974,0.449887
1,3,2,0.65,0.2,0.4,0.4,0.55,0.25,0.035,0.034804,0.427314
1,3,2,0.8,0.2,0.25,0.25,0.6,0.3,0.040,0.039938,0.402933
1,3,2,0.7,0.2,0.45,0.45,0.55,0.25,0.045,0.042979,0.380357
1,3,2,0.7,0.2,0.4,0.4,0.6,0.25,0.050,0.047095,0.363391
1,3,2,0.7,0.2,0.45,0.45,0.6,0.25,0.055,0.053978,0.336427
1,3,2,0.7,0.2,0.45,0.45,0.6,0.3,0.060,0.057984,0.322611
1,3,2,0.7,0.2,0.45,0.45,0.6,0.35,0.065,0.063594,0.308794
1,3,2,0.7,0.2,0.5,0.5,0.6,0.3,0.070,0.069051,0.298205
1,3,2,0.7,0.2,0.5,0.5,0.6,0.35,0.075,0.074095,0.286947
1,3,2,0.8,0.2,0.45,0.45,0.6,0.3,0.080,0.078001,0.278532
1,3,2,0.7,0.2,0.45,0.45,0.6,0.45,0.085,0.082826,0.26947
1,3,2,0.7,0.2,0.4,0.4,0.65,0.45,0.090,0.089631,0.259354
1,3,2,0.8,0.2,0.5,0.5,0.6,0.3,0.095,0.09386,0.251488
1,3,2,0.7,0.2,0.45,0.45,0.65,0.45,0.100,0.097095,0.242625
1,3,2,0.8,0.25,0.45,0.45,0.6,0.35,0.105,0.103771,0.235917
1,3,2,0.7,0.2,0.5,0.5,0.65,0.45,0.110,0.109535,0.225895
1,3,2,0.8,0.3,0.45,0.45,0.6,0.35,0.115,0.113903,0.215894
1,3,2,0.8,0.25,0.5,0.5,0.6,0.35,0.120,0.118241,0.214661
1,3,2,0.85,0.3,0.45,0.45,0.6,0.35,0.125,0.123289,0.204501
1,3,2,0.8,0.3,0.5,0.5,0.6,0.35,0.130,0.128043,0.196803
1,3,2,0.8,0.2,0.45,0.45,0.65,0.45,0.135,0.134049,0.189899
1,3,2,0.8,0.3,0.45,0.45,0.6,0.45,0.140,0.139798,0.18153
1,3,2,0.8,0.3,0.45,0.45,0.6,0.45,0.145,0.139798,0.18153
1,3,2,0.8,0.25,0.45,0.45,0.65,0.45,0.150,0.149934,0.171536
1,3,2,0.8,0.3,0.5,0.5,0.6,0.45,0.155,0.151328,0.168802
1,3,2,0.8,0.3,0.45,0.45,0.65,0.45,0.160,0.159011,0.15807
1,3,2,0.8,0.3,0.6,0.6,0.6,0.35,0.165,0.163675,0.156711
1,3,2,0.8,0.25,0.45,0.45,0.7,0.45,0.170,0.168367,0.154914
1,3,2,0.85,0.3,0.45,0.45,0.65,0.45,0.175,0.174465,0.144889
1,3,2,0.8,0.3,0.45,0.45,0.7,0.45,0.180,0.177023,0.143141
1,3,2,0.8,0.3,0.65,0.65,0.6,0.4,0.185,0.184941,0.139409
1,3,2,0.8,0.3,0.45,0.45,0.65,0.5,0.190,0.189222,0.13578
1,3,2,0.85,0.3,0.45,0.45,0.7,0.45,0.195,0.194899,0.129498
1,3,2,0.8,0.3,0.5,0.5,0.7,0.45,0.200,0.198668,0.127318
1,3,2,0.8,0.3,0.5,0.5,0.65,0.5,0.205,0.202927,0.125288
1,3,2,0.8,0.3,0.45,0.45,0.7,0.5,0.210,0.207234,0.120851
1,3,2,0.8,0.3,0.6,0.6,0.65,0.4,0.215,0.210315,0.119475
1,3,2,0.8,0.3,0.6,0.6,0.65,0.45,0.220,0.217972,0.11275
1,3,2,0.85,0.3,0.5,0.5,0.65,0.5,0.225,0.224288,0.111093
1,3,2,0.85,0.3,0.45,0.45,0.7,0.5,0.230,0.229174,0.106518
1,3,2,0.8,0.3,0.65,0.65,0.65,0.45,0.235,0.234052,0.103979
1,3,2,0.8,0.3,0.7,0.7,0.65,0.35,0.240,0.239987,0.102207
1,3,2,0.8,0.25,0.45,0.45,0.7,0.55,0.245,0.244558,0.097005
1,3,2,0.8,0.2,0.45,0.45,0.75,0.55,0.250,0.249499,0.096903
1,3,2,0.8,0.3,0.45,0.45,0.7,0.55,0.255,0.251472,0.09113
1,3,2,0.85,0.3,0.65,0.65,0.65,0.45,0.260,0.259599,0.089124
1,3,2,0.85,0.35,0.6,0.6,0.65,0.45,0.265,0.26445,0.08757
1,3,2,0.85,0.3,0.4,0.4,0.7,0.55,0.270,0.269737,0.082262
1,3,2,0.85,0.25,0.45,0.45,0.7,0.55,0.275,0.272448,0.081753
1,3,2,0.85,0.3,0.45,0.45,0.7,0.55,0.280,0.279362,0.075879
1,3,2,0.85,0.3,0.45,0.45,0.7,0.55,0.285,0.279362,0.075879
1,3,2,0.85,0.25,0.5,0.5,0.7,0.55,0.290,0.28882,0.074668
1,3,2,0.85,0.3,0.4,0.4,0.8,0.55,0.295,0.294822,0.070134
1,3,2,0.85,0.3,0.45,0.45,0.75,0.55,0.300,0.297526,0.069283
1,3,2,0.85,0.25,0.45,0.45,0.8,0.55,0.305,0.303036,0.06711
1,3,2,0.85,0.3,0.45,0.45,0.8,0.55,0.310,0.309333,0.062687
1,3,2,0.85,0.3,0.45,0.45,0.8,0.55,0.315,0.309333,0.062687
1,3,2,0.85,0.3,0.3,0.3,0.8,0.6,0.320,0.317739,0.05992
1,3,2,0.85,0.3,0.45,0.45,0.7,0.6,0.325,0.324654,0.058644
1,3,2,0.85,0.2,0.4,0.4,0.8,0.6,0.330,0.327438,0.056788
1,3,2,0.85,0.3,0.5,0.5,0.8,0.55,0.335,0.333519,0.055239
1,3,2,0.85,0.2,0.45,0.45,0.8,0.6,0.340,0.339877,0.051426
1,3,2,0.85,0.3,0.4,0.4,0.8,0.6,0.345,0.342852,0.049707
1,3,2,0.85,0.25,0.45,0.45,0.8,0.6,0.350,0.349262,0.047979
1,3,2,0.85,0.3,0.45,0.45,0.8,0.6,0.355,0.354624,0.045452
1,3,2,0.85,0.3,0.45,0.45,0.8,0.6,0.360,0.354624,0.045452
1,3,2,0.85,0.3,0.45,0.45,0.8,0.6,0.365,0.354624,0.045452
1,3,2,0.85,0.25,0.5,0.5,0.8,0.6,0.370,0.369287,0.043256
1,3,2,0.85,0.3,0.5,0.5,0.8,0.6,0.375,0.374245,0.041196
1,3,2,0.85,0.3,0.5,0.5,0.8,0.6,0.380,0.374245,0.041196
1,3,2,0.85,0.3,0.5,0.5,0.8,0.6,0.385,0.374245,0.041196
1,3,2,0.85,0.35,0.5,0.5,0.8,0.6,0.390,0.389119,0.038575
1,3,2,0.85,0.35,0.5,0.5,0.8,0.6,0.395,0.389119,0.038575
1,3,2,0.9,0.25,0.4,0.4,0.8,0.6,0.400,0.398842,0.036666
1,3,2,0.9,0.3,0.4,0.4,0.8,0.6,0.405,0.404447,0.03367
1,3,2,0.9,0.3,0.4,0.4,0.8,0.6,0.410,0.404447,0.03367
1,3,2,0.9,0.25,0.45,0.45,0.8,0.6,0.415,0.413284,0.031815
1,3,2,0.9,0.3,0.45,0.45,0.8,0.6,0.420,0.418646,0.029287
1,3,2,0.9,0.3,0.45,0.45,0.8,0.6,0.425,0.418646,0.029287
1,3,2,0.9,0.3,0.45,0.45,0.8,0.6,0.430,0.418646,0.029287
1,3,2,0.9,0.35,0.45,0.45,0.8,0.6,0.435,0.434734,0.02607
1,3,2,0.9,0.35,0.45,0.45,0.8,0.6,0.440,0.434734,0.02607
1,3,2,0.9,0.3,0.5,0.5,0.8,0.6,0.445,0.442312,0.024904
1,3,2,0.9,0.3,0.5,0.5,0.8,0.6,0.450,0.442312,0.024904
1,3,2,0.9,0.4,0.45,0.45,0.8,0.6,0.455,0.452162,0.024232
1,3,2,0.9,0.35,0.5,0.5,0.8,0.6,0.460,0.457186,0.022283
1,3,2,0.9,0.35,0.5,0.5,0.8,0.6,0.465,0.457186,0.022283
1,3,2,0.9,0.45,0.45,0.45,0.8,0.6,0.470,0.46959,0.021474
1,3,2,0.9,0.4,0.5,0.5,0.8,0.6,0.475,0.473299,0.020785
1,3,2,0.9,0.4,0.5,0.5,0.8,0.6,0.480,0.473299,0.020785
1,3,2,0.9,0.5,0.45,0.45,0.8,0.6,0.485,0.481656,0.019865
1,3,2,0.9,0.3,0.45,0.45,0.8,0.65,0.490,0.489518,0.018439
1,3,2,0.9,0.2,0.6,0.6,0.8,0.6,0.495,0.491118,0.018244
1,3,2,0.9,0.25,0.6,0.6,0.8,0.6,0.500,0.49801,0.016776
1,3,2,0.9,0.3,0.6,0.6,0.8,0.6,0.505,0.501949,0.015699
1,3,2,0.9,0.3,0.6,0.6,0.8,0.6,0.510,0.501949,0.015699
1,3,2,0.9,0.35,0.6,0.6,0.8,0.6,0.515,0.513765,0.014329
1,3,2,0.9,0.35,0.6,0.6,0.8,0.6,0.520,0.513765,0.014329
1,3,2,0.9,0.3,0.65,0.65,0.8,0.6,0.525,0.524668,0.013069
1,3,2,0.9,0.3,0.65,0.65,0.8,0.6,0.530,0.524668,0.013069
1,3,2,0.9,0.3,0.65,0.65,0.8,0.6,0.535,0.524668,0.013069
1,3,2,0.9,0.35,0.65,0.65,0.8,0.6,0.540,0.535318,0.012057
1,3,2,0.9,0.2,0.7,0.7,0.8,0.6,0.545,0.540674,0.011657
1,3,2,0.9,0.3,0.7,0.7,0.8,0.6,0.550,0.54928,0.010439
1,3,2,0.9,0.3,0.7,0.7,0.8,0.6,0.555,0.54928,0.010439
1,3,2,0.9,0.35,0.7,0.7,0.8,0.6,0.560,0.558668,0.009784
1,3,2,0.9,0.3,0.65,0.65,0.8,0.65,0.565,0.563533,0.009654
1,3,2,0.9,0.4,0.7,0.7,0.8,0.6,0.570,0.568839,0.00941
